
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0746.JPG.txt	[Extension: .JPG]	[Size: 802246 bytes]	[Last modification: 2015-12-31 21:50:46]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0768.JPG.txt	[Extension: .JPG]	[Size: 1816985 bytes]	[Last modification: 2016-01-02 12:45:18]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0769.JPG.txt	[Extension: .JPG]	[Size: 1821044 bytes]	[Last modification: 2016-01-02 12:45:28]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0774.JPG.txt	[Extension: .JPG]	[Size: 81412 bytes]	[Last modification: 2016-01-04 09:57:10]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0790.JPG.txt	[Extension: .JPG]	[Size: 95765 bytes]	[Last modification: 2016-01-16 17:46:50]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0791.JPG.txt	[Extension: .JPG]	[Size: 94050 bytes]	[Last modification: 2016-01-16 17:46:50]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0806.JPG.txt	[Extension: .JPG]	[Size: 101750 bytes]	[Last modification: 2016-01-29 11:14:08]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0807.JPG.txt	[Extension: .JPG]	[Size: 98098 bytes]	[Last modification: 2016-01-29 11:14:10]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0808.JPG.txt	[Extension: .JPG]	[Size: 110061 bytes]	[Last modification: 2016-01-29 11:14:14]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0809.JPG.txt	[Extension: .JPG]	[Size: 95770 bytes]	[Last modification: 2016-01-29 11:14:32]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0810.JPG.txt	[Extension: .JPG]	[Size: 93217 bytes]	[Last modification: 2016-01-29 11:14:32]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0811.JPG.txt	[Extension: .JPG]	[Size: 94448 bytes]	[Last modification: 2016-01-29 11:14:34]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0855.JPG.txt	[Extension: .JPG]	[Size: 123396 bytes]	[Last modification: 2016-03-04 15:31:56]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0856.JPG.txt	[Extension: .JPG]	[Size: 126043 bytes]	[Last modification: 2016-03-04 15:31:56]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0863.PNG.txt	[Extension: .PNG]	[Size: 521373 bytes]	[Last modification: 2016-03-07 12:47:02]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0874.JPG.txt	[Extension: .JPG]	[Size: 95728 bytes]	[Last modification: 2016-03-23 10:48:22]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\Codes\HDD Chrono\42\.history\C\2-2021\CM\3_20210927081337.c.txt	[Extension: .c]	[Size: 0 bytes]	[Last modification: 2021-09-27 10:02:00]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\Codes\HDD Chrono\42\.history\C\2-2021\CM\3_20210927120200.c.txt	[Extension: .c]	[Size: 61 bytes]	[Last modification: 2021-09-27 10:02:00]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\Codes\HDD Chrono\42\.history\C\2-2021\TD3\Exo1_20210928081703.txt	[Extension: .history\C\2-2021\TD3\Exo1_20210928081703]	[Size: 0 bytes]	[Last modification: 2021-09-28 06:23:40]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\Codes\HDD Chrono\42\.history\C\2-2021\TD3\Exo1_20210928082340.txt	[Extension: .history\C\2-2021\TD3\Exo1_20210928082340]	[Size: 2 bytes]	[Last modification: 2021-09-28 06:23:40]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\Codes\HDD Chrono\42\.history\C\2-2021\TD3\Exo1_20210928084120.txt	[Extension: .history\C\2-2021\TD3\Exo1_20210928084120]	[Size: 46 bytes]	[Last modification: 2021-09-28 06:41:20]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\Codes\HDD Chrono\42\.history\C\2-2021\TD3\Exo1_20210928091154.txt	[Extension: .history\C\2-2021\TD3\Exo1_20210928091154]	[Size: 153 bytes]	[Last modification: 2021-09-28 07:11:54]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\Codes\HDD Chrono\42\.history\C\2-2021\TD3\Exo1_20210928092111.txt	[Extension: .history\C\2-2021\TD3\Exo1_20210928092111]	[Size: 157 bytes]	[Last modification: 2021-09-28 07:21:11]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\Codes\HDD Chrono\42\.history\C\2-2021\TP2\Exo4\Exo_20210921104153.c.txt	[Extension: .c]	[Size: 0 bytes]	[Last modification: 2021-09-27 12:11:21]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\Codes\HDD Chrono\42\.history\C\2-2021\TP2\Exo4\Exo_20210927141121.c.txt	[Extension: .c]	[Size: 643 bytes]	[Last modification: 2021-09-27 12:11:21]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\Codes\HDD Chrono\42\.history\C\2-2021\TP2\Exo4\Exo_20210927141219.c.txt	[Extension: .c]	[Size: 704 bytes]	[Last modification: 2021-09-27 12:12:19]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\Codes\HDD Chrono\42\.history\C\2-2021\TP2\Exo4\Exo_20210927141234.c.txt	[Extension: .c]	[Size: 705 bytes]	[Last modification: 2021-09-27 12:12:34]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\Codes\HDD Chrono\42\.history\C\2-2021\TP2\Exo4\Exo_20210927141305.c.txt	[Extension: .c]	[Size: 727 bytes]	[Last modification: 2021-09-27 12:13:05]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\Codes\HDD Chrono\42\.history\C\2-2021\TP2\Exo4\Exo_20210927141334.c.txt	[Extension: .c]	[Size: 720 bytes]	[Last modification: 2021-09-27 12:13:34]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\Codes\HDD Chrono\42\.history\C\2-2021\TP2\Exo4\Exo_20210927141352.c.txt	[Extension: .c]	[Size: 723 bytes]	[Last modification: 2021-09-27 12:13:52]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\Codes\HDD Chrono\42\.history\C\2-2021\TP2\Exo4\Exo_20210927141410.c.txt	[Extension: .c]	[Size: 721 bytes]	[Last modification: 2021-09-27 12:14:10]
