
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071320123600_s.jpg.txt	[Extension: .jpg]	[Size: 189846 bytes]	[Last modification: 2020-07-13 18:12:36]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071320224000_s.jpg.txt	[Extension: .jpg]	[Size: 248613 bytes]	[Last modification: 2020-07-13 18:22:40]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071320240300_s.jpg.txt	[Extension: .jpg]	[Size: 247507 bytes]	[Last modification: 2020-07-13 18:24:03]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071320265600_s.jpg.txt	[Extension: .jpg]	[Size: 251682 bytes]	[Last modification: 2020-07-13 18:26:56]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071320303100_s.jpg.txt	[Extension: .jpg]	[Size: 246516 bytes]	[Last modification: 2020-07-13 18:30:31]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071320343400_s.jpg.txt	[Extension: .jpg]	[Size: 246367 bytes]	[Last modification: 2020-07-13 18:34:34]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071410591400_s.mp4.txt	[Extension: .mp4]	[Size: 17537850 bytes]	[Last modification: 2020-07-14 08:59:14]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071412371000_s.jpg.txt	[Extension: .jpg]	[Size: 257660 bytes]	[Last modification: 2020-07-14 10:37:10]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071417105200_s.jpg.txt	[Extension: .jpg]	[Size: 235273 bytes]	[Last modification: 2020-07-14 15:10:52]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071417111900_s.jpg.txt	[Extension: .jpg]	[Size: 103911 bytes]	[Last modification: 2020-07-14 15:11:19]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071420565800_s.mp4.txt	[Extension: .mp4]	[Size: 13216818 bytes]	[Last modification: 2020-07-14 18:56:58]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071421032200_s.jpg.txt	[Extension: .jpg]	[Size: 74220 bytes]	[Last modification: 2020-07-14 19:03:22]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071421211000_s.jpg.txt	[Extension: .jpg]	[Size: 244004 bytes]	[Last modification: 2020-07-14 19:21:10]
